Bdl;Tpl/Str;Typ - undertyp;UNE;Spår nr;Ägare;B-klass;Mall;Benämning;Km + m fr;Km + m ti;OFP-Bes.
313;AVKY;Spårväxel - DKV-SJ50-7,641/9,375-1:9;e3;3;Mitt;B3;Ja;162/163;160+ 279;160+ 296;2014-11-27
434;SÄP;Spårväxel - EV-UIC60-1200-1:18,5;u;2;Mitt;B4;Ja;131;55+ 234;55+ 266;2014-03-11
313;AVKY;Spårväxel - EV-SJ43-5,9-1:9;;17;Mitt;B1;Ja;210;160+ 264;160+ 282;2011-07-14
434;SÄP;Spårväxel - EV-UIC60-1200-1:18,5;u;2;Mitt;B4;Ja;131;55+ 234;55+ 266;2014-03-11
434;SÄP;Spårväxel - EV-UIC60-1200-1:18,5;n;1;Mitt;B4;Ja;132;55+ 150;55+ 183;2014-03-11
434;SÄP;Spårväxel - EV-UIC60-1200-1:18,5;n;1;Mitt;B4;Ja;132;55+ 150;55+ 183;2014-03-11
434;TBO;Spårväxel - EV-UIC60-760-1:15;n;1;Mitt;B4;Ja;101;49+ 255;49+ 280;2014-03-10
313;AVKY;Spårväxel - EV-SJ50-11-1:9;;17;Mitt;B1;Ja;219;160+ 103;160+ 115;2013-04-25
434;TBO;Spårväxel - EV-UIC60-760-1:15;n;1;Mitt;B4;Ja;101;49+ 255;49+ 280;2014-03-10
313;AVKY;Spårväxel - EV-SJ50-5,9-1:9;;19;Mitt;B1;Ja;301;160+  71;160+  83;2011-07-14
434;TBO;Spårväxel - EV-UIC60-760-1:15;u;2;Mitt;B4;Ja;102;49+ 162;49+ 187;2014-03-10
315;NVL;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;2a;8+ 671;8+ 688;2012-03-14
434;TBO;Spårväxel - EV-UIC60-760-1:15;u;2;Mitt;B4;Ja;102;49+ 162;49+ 187;2014-03-10
434;TBO;Spårväxel - EV-UIC60-760-1:15;u;2;Mitt;B4;Ja;135;48+ 446;48+ 471;2014-03-10
434;TBO;Spårväxel - EV-UIC60-760-1:15;u;2;Mitt;B4;Ja;135;48+ 446;48+ 471;2014-03-10
434;TBO;Spårväxel - EV-UIC60-760-1:15;;136-135;Mitt;B4;Ja;136;48+ 377;48+ 406;2014-03-10
434;TBO;Spårväxel - EV-UIC60-760-1:15;;136-135;Mitt;B4;Ja;136;48+ 377;48+ 406;2014-03-10
434;ÖH;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;101;44+ 968;44+ 993;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-760-1:15;;102-101;Mitt;B4;Ja;101;44+ 940;44+ 969;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-760-1:15;;102-101;Mitt;B4;Ja;102;44+ 901;44+ 930;2014-03-11
315;SV;Spårväxel - EV-UIC60-1200-1:18,5;e1;3;Mitt;B3;Ja;146;39+ 459;39+ 492;2014-03-14
434;ÖH;Spårväxel - EV-UIC60-760-1:15;;102-101;Mitt;B4;Ja;102;44+ 901;44+ 930;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;103;44+ 831;44+ 856;2014-03-11
315;SNV;Spårväxel - EV-SJ50-11-1:9;;16;Mitt;B1;Ja;16b;24+ 818;24+ 830;2012-03-14
434;ÖH;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;103;44+ 831;44+ 856;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;105;44+ 764;44+ 789;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;105;44+ 764;44+ 789;2014-03-11
315;SNV;Spårväxel - EV-SJ50-12-1:12;;3;Nord;B1;Ja;9;23+ 437;23+ 456;2011-04-02
315;SNV;Spårväxel - DKV-SJ43-6,1-1:9;;4;Mitt;B1;Ja;8b/8a;23+ 425;23+ 441;2012-03-14
315;SNV;Spårväxel - 3V-SJ50-5,9-1:9/1:9-HV/VH;;5;Mitt;B1;Ja;3a/vx4;23+ 400;23+ 388;2012-03-14
315;SNV;Spårväxel - EV-SJ43-5,9-1:9;;7;Mitt;B1;Ja;5a;23+ 314;23+ 332;2012-03-14
315;SNV;Spårväxel - EV-SJ50-5,9-1:9;;7;Mitt;B1;Ja;6a;23+ 300;23+ 311;2012-03-14
315;SNV;Spårväxel - EV-SJ50-11-1:9;;9;Mitt;B1;Ja;7;23+ 291;23+ 302;2012-03-14
315;SNV;Spårväxel - 3V-SJ50-5,9-1:10/1:9-HH/VV;;11;Mitt;B1;Ja;103/208;23+ 239;23+ 255;2012-03-14
315;SNV;Spårväxel - DKV-SJ43-6,1-1:9;;11;Mitt;B1;Ja;24/22;23+  20;23+  36;2012-03-14
434;ÖH;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;106;44+ 670;44+ 695;2014-03-11
315;SNV;Spårväxel - EV-SJ50-11-1:12;;3;Mitt;B1;Ja;3;22+ 788;22+ 798;2011-04-02
315;SNV;Spårväxel - EV-BV50-225/190-1:9;;1a-1b;Mitt;B1;Ja;1b;22+ 741;22+ 758;2011-04-02
434;ÖH;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;106;44+ 670;44+ 695;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-300-1:9;n;2;Mitt;B4;Ja;140;43+ 385;43+ 401;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-300-1:9;n;2;Mitt;B4;Ja;140;43+ 385;43+ 401;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-1200-1:18,5;;142-141;Mitt;B4;Ja;141;43+ 288;43+ 321;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-1200-1:18,5;;142-141;Mitt;B4;Ja;141;43+ 288;43+ 321;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-1200-1:18,5;u;1;Mitt;B4;Ja;142;43+ 205;43+ 237;2014-03-11
434;ÖH;Spårväxel - EV-UIC60-1200-1:18,5;u;1;Mitt;B4;Ja;142;43+ 205;43+ 237;2014-03-11
315;SV;Spårväxel - EV-BV50-225/190-1:9;;6;Mitt;B2;Ja;115;218+ 788;218+ 799;2014-03-13
315;SV;Spårväxel - EV-BV50-225/190-1:9;;7;Mitt;B1;Ja;116;218+ 740;218+ 751;2011-03-31
315;SV;Spårväxel - EV-SJ50-11-1:9;;7;Nord;B1;Ja;1;218+ 724;218+ 736;2012-03-14
315;SV;Spårväxel - EV-SJ50-11-1:9;;8;Nord;B1;Ja;6;218+ 617;218+ 629;2012-03-14
315;SV;Spårväxel - EV-UIC60-300-1:9;e1;4;Mitt;B3;Ja;117;218+ 543;218+ 559;2014-03-14
434;JLO;Spårväxel - EV-UIC60-1200-1:18,5;n;1;Mitt;B4;Ja;101;33+ 190;33+ 223;2014-03-11
315;SV;Spårväxel - EV-SJ50-11-1:9;;10;Nord;B1;Ja;3;218+ 311;218+ 322;2012-03-14
315;SV;Spårväxel - EV-SJ50-11-1:9;;1;Mitt;B1;Ja;131;218+ 292;218+ 303;2011-03-31
315;SV;Spårväxel - EV-SJ50-11-1:9;;8;Nord;B1;Ja;4;218+ 237;218+ 249;2012-03-14
434;JLO;Spårväxel - EV-UIC60-1200-1:18,5;n;1;Mitt;B4;Ja;101;33+ 190;33+ 223;2014-03-11
315;SV;Spårväxel - EV-SJ50-11-1:9;;8;Mitt;B1;Ja;5;218+ 130;218+ 147;2012-03-14
315;SV;Spårväxel - EV-SJ50-11-1:9;;7;Mitt;B1;Ja;133;217+ 832;217+ 843;2011-03-31
434;JLO;Spårväxel - EV-UIC60-1200-1:18,5;u;2;Mitt;B4;Ja;102;33+  75;33+ 107;2014-03-11
315;SV;Spårväxel - EV-BV50-225/190-1:9;;6;Mitt;B2;Ja;134;217+ 785;217+ 797;2014-03-13
434;JLO;Spårväxel - EV-UIC60-1200-1:18,5;u;2;Mitt;B4;Ja;102;33+  75;33+ 107;2014-03-11
434;JLO;Spårväxel - EV-UIC60-760-1:15;u;2;Mitt;B4;Ja;103;33+  29;33+  55;2014-03-11
434;JLO;Spårväxel - EV-UIC60-760-1:15;u;2;Mitt;B4;Ja;103;33+  29;33+  55;2014-03-11
434;JLO;Spårväxel - EV-UIC60-760-1:15;u;2;Mitt;B4;Ja;132;31+ 967;31+ 993;2014-03-11
434;JLO;Spårväxel - EV-UIC60-760-1:15;u;2;Mitt;B4;Ja;132;31+ 967;31+ 993;2014-03-11
434;JLO;Spårväxel - EV-UIC60-1200-1:18,5;u;2;Mitt;B4;Ja;133;31+ 915;31+ 947;2014-03-11
434;JLO;Spårväxel - EV-UIC60-1200-1:18,5;u;2;Mitt;B4;Ja;133;31+ 915;31+ 947;2014-03-11
434;JLO;Spårväxel - EV-UIC60-1200-1:18,5;n;1;Mitt;B4;Ja;134;31+ 799;31+ 832;2014-03-11
434;JLO;Spårväxel - EV-UIC60-1200-1:18,5;n;1;Mitt;B4;Ja;134;31+ 799;31+ 832;2014-03-11
315;FB;Spårväxel - EV-SJ43-5,9-1:9;;1;Mitt;B1;Ja;3;15+ 933;15+ 945;2011-04-02
315;FB;Spårväxel - EV-SJ50-11-1:9;;3;Mitt;B1;Ja;2;15+ 870;15+ 881;2011-04-02
434;SAS;Spårväxel - EV-UIC60-1200-1:18,5;n;2;Mitt;B4;Ja;101;23+ 111;23+ 143;2014-03-10
434;SAS;Spårväxel - EV-UIC60-1200-1:18,5;n;2;Mitt;B4;Ja;101;23+ 111;23+ 143;2014-03-10
322;KOÄ;Spårväxel - EV-SJ50-11-1:9;;3;Mitt;B1;Ja;2;86+ 739;86+ 757;2014-08-25
322;KOÄ;Spårväxel - EV-SJ43-5,9-1:9;;stick3;Mitt;B1;Ja;5;86+ 708;86+ 720;
322;KOÄ;Spårväxel - EV-SJ50-11-1:9;;2;Väst;B1;Ja;3;86+ 706;86+ 718;2011-04-14
434;SAS;Spårväxel - EV-UIC60-1200-1:18,5;u;1;Mitt;B4;Ja;102;23+  32;23+  65;2014-03-10
434;SAS;Spårväxel - EV-UIC60-1200-1:18,5;u;1;Mitt;B4;Ja;102;23+  32;23+  65;2014-03-10
434;SAS;Spårväxel - EV-UIC60-1200-1:18,5;u;1;Mitt;B4;Ja;135;21+ 827;21+ 859;2014-03-10
322;RYG;Spårväxel - EV-SJ43-5,9-1:9;;2;Väst;B1;Ja;3a;73+ 589;73+ 601;2011-04-14
434;SAS;Spårväxel - EV-UIC60-1200-1:18,5;u;1;Mitt;B4;Ja;135;21+ 827;21+ 859;2014-03-10
434;SAS;Spårväxel - EV-UIC60-1200-1:18,5;n;2;Mitt;B4;Ja;136;21+ 685;21+ 718;2014-03-10
434;SAS;Spårväxel - EV-UIC60-1200-1:18,5;n;2;Mitt;B4;Ja;136;21+ 685;21+ 718;2014-03-10
322;LSJ;Spårväxel - EV-BV50-225/190-1:9;;2;Väst;B1;Ja;2b;65+ 398;65+ 410;2011-04-14
434;LTN;Spårväxel - EV-UIC60-1200-1:18,5;e;2;Öst;B4;Ja;601;2+ 315;2+ 348;2014-03-10
434;LTN;Spårväxel - EV-UIC60-1200-1:18,5;e;2;Öst;B4;Ja;601;2+ 315;2+ 348;2014-03-10
434;SRV;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;101;13+ 142;13+ 171;2014-03-10
322;HFR;Spårväxel - EV-SJ50-5,9-1:9;;4;Mitt;B1;Ja;9;55+ 184;55+ 201;2012-03-19
322;HFR;Spårväxel - EV-SJ50-11-1:9;;3;Mitt;B1;Ja;7b;55+ 163;55+ 180;2011-04-14
322;HFR;Spårväxel - EV-SJ50-11-1:9;;4;Mitt;B1;Ja;114;55+ 129;55+ 141;2012-03-19
322;HFR;Spårväxel - EV-SJ50-5,9-1:9;;5;Mitt;B1;Ja;113;55+ 100;55+ 112;2012-03-19
322;HFR;Spårväxel - EV-SJ50-11-1:9;;7;Mitt;B1;Ja;111;55+  70;55+  81;2012-03-19
322;HFR;Spårväxel - EV-SJ50-5,9-1:9;;6;Mitt;B1;Ja;112;55+  53;55+  71;2012-03-19
322;HFR;Spårväxel - EV-SJ50-11-1:9;;6;Mitt;B1;Ja;103;54+ 543;54+ 555;2012-03-19
322;HFR;Spårväxel - EV-SJ50-11-1:9;;6;Mitt;B1;Ja;102;54+ 516;54+ 533;2012-03-19
322;HFR;Spårväxel - EV-SJ50-5,9-1:9;;4;Mitt;B1;Ja;101;54+ 487;54+ 504;2012-03-19
434;SRV;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;101;13+ 142;13+ 171;2014-03-10
322;HFR;Spårväxel - EV-SJ50-11-1:9;;3;Mitt;B1;Ja;1b;54+ 461;54+ 473;2012-03-19
322;HFR;Spårväxel - EV-SJ50-11-1:9;;4;Väst;B1;Ja;4;54+ 446;54+ 463;2012-03-19
322;HFR;Spårväxel - SPK-SJ50-1:4,44;;3a;Väst;B1;Ja;144;54+ 430;54+ 430;2012-03-19
322;HFR;Spårväxel - EV-SJ50-11-1:9;;3;Mitt;B1;Ja;3;54+ 409;54+ 421;2011-04-14
434;SRV;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;102;13+  79;13+ 104;2014-03-10
434;SRV;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;102;13+  79;13+ 104;2014-03-10
322;GAD;Spårväxel - EV-SJ50-11-1:9;;1;Väst;B1;Ja;2b;48+ 422;48+ 434;2013-04-04
434;SRV;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;103;13+   5;13+  33;2014-03-10
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;8;Mitt;B1;Ja;30;91+ 749;91+ 761;
323;FLN;Spårväxel - EV-BV50-225/190-1:9 kryss;;1;Mitt;B1;Ja;11a;91+ 630;91+ 641;
323;FLN;Spårväxel - EV-BV50-225/190-1:9 kryss;;2;Mitt;B1;Ja;12a;91+ 627;91+ 639;
323;FLN;Spårväxel - EV-SJ50-5,9-1:9;;1;Mitt;B1;Ja;10b;91+ 388;91+ 399;2011-04-12
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;56;Mitt;B1;Ja;77;91+ 388;91+ 399;
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;53;Mitt;B1;Ja;631;91+ 344;91+ 362;2011-04-12
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;55;Mitt;B1;Ja;59;91+ 336;91+ 347;
323;FLN;Spårväxel - EV-SJ50-11-1:9;;2;Mitt;B1;Ja;10a;91+ 335;91+ 347;2011-04-12
323;FLN;Spårväxel - EV-SJ50-11-1:12;;1;Mitt;B1;Ja;9;91+ 333;91+ 342;2010-04-30
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;9;Mitt;B1;Ja;32;91+ 316;91+ 328;
323;FLN;Spårväxel - EV-SJ50-11-1:9;;53;Mitt;B1;Ja;55;91+ 305;91+ 322;2011-04-12
323;FLN;Spårväxel - EV-SJ50-11-1:9;;54;Mitt;B1;Ja;571;91+ 299;91+ 310;2011-04-12
323;FLN;Spårväxel - EV-SJ50-11-1:9;;1;Mitt;B1;Ja;53;91+ 265;91+ 276;2011-04-12
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;13;Mitt;B1;Ja;34;91+ 262;91+ 279;
323;FLN;Spårväxel - EV-SJ43-5,9-1:10;;13;Mitt;B1;Ja;36;91+ 163;91+ 174;
323;FLN;Spårväxel - EV-BJ43-5,8-1:10;;1;Mitt;B1;Ja;45;91+  10;91+  21;2011-04-12
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;10;Mitt;B1;Ja;37;90+1003;90+1021;
323;FLN;Spårväxel - EV-SJ43-11-1:9;;1;Mitt;B1;Ja;7b;90+ 971;90+ 989;2011-04-12
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;8;Väst;B1;Ja;35;90+ 964;90+ 982;
323;FLN;Spårväxel - EV-SJ50-11-1:9;;4;Mitt;B1;Ja;6b;90+ 958;90+ 976;2011-04-12
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;10;Mitt;B1;Ja;33;90+ 956;90+ 967;
323;FLN;Spårväxel - EV-SJ50-11-1:9;;1;Mitt;B1;Ja;7a;90+ 948;90+ 965;2011-04-12
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;1;Mitt;B1;Ja;46;90+ 928;90+ 940;
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;10;Mitt;B1;Ja;31;90+ 927;90+ 938;
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;8;Väst;B1;Ja;17;90+ 909;90+ 927;
323;FLN;Spårväxel - EV-SJ43-5,9-1:10;;5;Mitt;B1;Ja;19;90+ 897;90+ 908;2011-04-12
434;SRV;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;103;13+   5;13+  33;2014-03-10
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;7;Mitt;B1;Ja;13;90+ 860;90+ 871;
323;FLN;Spårväxel - EV-SJ41-5,9-1:10;;4b;Väst;B1;Ja;3;90+ 853;90+ 863;2011-04-12
434;SRV;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;104;12+ 956;12+ 981;2014-03-10
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;4b;Mitt;B1;Ja;4;90+ 806;90+ 818;2011-04-12
434;SRV;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;104;12+ 956;12+ 981;2014-03-10
323;HNO;Spårväxel - EV-SJ50-5,9-1:9;;2;Mitt;B1;Ja;2a;8+ 198;8+ 209;2010-04-30
434;SRV;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;105;12+ 462;12+ 487;2014-03-10
323;FLN;Spårväxel - EV-SJ43-11-1:9;;indsp;Mitt;B1;Ja;29;2+ 115;2+ 127;2011-04-14
434;SRV;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;105;12+ 462;12+ 487;2014-03-10
434;SRV;Spårväxel - EV-UIC60-1200-1:18,5;n;2;Mitt;B4;Ja;132;11+ 180;11+ 213;2014-03-10
323;ORN;Spårväxel - EV-SJ50-11-1:9;;2;Väst;B1;Ja;5;17+ 172;17+ 183;2011-04-12
323;ORN;Spårväxel - EV-SJ50-11-1:9;;3;Väst;B1;Ja;12;17+  94;17+ 105;
323;ORN;Spårväxel - EV-SJ43-5,9-1:9;;4;Väst;B1;Ja;9;16+ 770;16+ 782;
323;ORN;Spårväxel - EV-SJ50-11-1:9;;2;Väst;B1;Ja;2;16+ 520;16+ 531;2011-04-12
434;SRV;Spårväxel - EV-UIC60-1200-1:18,5;n;2;Mitt;B4;Ja;132;11+ 180;11+ 213;2014-03-10
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;indsp;Väst;B1;Ja;6a1;1+ 954;1+ 966;2011-04-12
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;indsp;Mitt;B1;Ja;6;1+ 751;1+ 762;2011-04-12
434;SRV;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;133;11+ 178;11+ 203;2014-03-10
434;SRV;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;133;11+ 178;11+ 203;2014-03-10
323;FLN;Spårväxel - EV-SJ50-12-1:15;;5;Mitt;B1;Ja;16a;0+ 210;0+ 229;2011-04-12
434;SRV;Spårväxel - EV-UIC60-760-1:15;;134-133;Mitt;B4;Ja;134;11+ 110;11+ 139;2014-03-10
323;FLN;Spårväxel - EV-SJ43-5,9-1:9;;5;Mitt;B1;Ja;20;0+ 199;0+ 210;2011-04-12
323;FLN;Spårväxel - EV-41-5,8-1:10;;5;Mitt;B1;Ja;12;0+ 159;0+ 170;2011-04-12
434;SRV;Spårväxel - EV-UIC60-760-1:15;;134-133;Mitt;B4;Ja;134;11+ 110;11+ 139;2014-03-10
323;FLN;Spårväxel - EV-SJ50-11-1:9;;4;Mitt;B1;Ja;13a;0+  64;0+  81;2011-04-12
323;FLN;Spårväxel - EV-BV50-225/190-1:9 kryss;;12a-12b;Mitt;B1;Ja;12b;0+  31;0+  49;
323;FLN;Spårväxel - EV-BV50-225/190-1:9 kryss;;2;Mitt;B1;Ja;11b;0+  31;0+  49;
323;FLN;Spårväxel - SPK-SJ50-1:4,44;;11a-11b;Mitt;B1;Ja;?;0+  29;0+  29;
434;SRV;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;135;11+  10;11+  39;2014-03-10
324;LA;Spårväxel - EV-SJ50-11-1:9;;6;Mitt;B1;Ja;466;70+ 622;70+ 634;2013-04-25
324;LA;Spårväxel - DKV-SJ50-7,641/9,375-1:9;;ut 1;Mitt;B1;Ja;472/465;70+ 570;70+ 587;2013-04-25
324;LA;Spårväxel - EV-SJ50-11-1:9;;6;Mitt;B1;Ja;464;70+ 564;70+ 581;2013-04-25
324;LA;Spårväxel - EV-43-5,9-1:6;;9;Mitt;B1;Ja;471;70+ 529;70+ 540;2013-04-25
434;SRV;Spårväxel - EV-UIC60-760-1:15;n;2;Mitt;B4;Ja;135;11+  10;11+  39;2014-03-10
434;SRV;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;136;10+ 931;10+ 956;2014-03-10
324;LA;Spårväxel - DKV-SJ50-7,641/9,375-1:9;;5;Mitt;B1;Ja;450/449;70+ 292;70+ 310;2013-04-25
324;LA;Spårväxel - EV-BV50-225/190-1:9;;10;Mitt;B1;Ja;102;70+ 290;70+ 302;2013-04-25
324;LA;Spårväxel - EV-BJ43-5,8-1:10;;1;Väst;B1;Ja;27;70+ 271;70+ 282;2013-04-25
324;LA;Spårväxel - EV-SJ50-11-1:9;;6;Mitt;B1;Ja;451;70+ 241;70+ 252;2013-04-25
324;LA;Spårväxel - EV-SJ43-5,9-1:9;;1;Väst;B1;Ja;25;70+ 214;70+ 226;2013-04-25
324;LA;Spårväxel - EV-SJ50-11-1:9;;2;Mitt;B1;Ja;444;70+ 213;70+ 230;2013-04-25
324;LA;Spårväxel - EV-SJ50-5,9-1:9;;1;Mitt;B1;Ja;443;70+ 173;70+ 185;2013-04-25
324;LA;Spårväxel - EV-BV50-225/190-1:9;;9;Mitt;B1;Ja;101;70+ 131;70+ 143;2013-04-25
324;LA;Spårväxel - DKV-SJ43-5,4-1:9;;429-432;Mitt;B1;Ja;432/431;69+ 903;69+ 920;2013-04-18
324;LA;Spårväxel - EV-SJ50-11-1:9;;419-429;Mitt;B1;Ja;429;69+ 866;69+ 878;2013-04-18
324;LA;Spårväxel - EV-SJ43-11-1:9;;2;Mitt;B1;Ja;421;69+ 804;69+ 816;2013-04-25
324;LA;Spårväxel - EV-SJ50-11-1:9;;415-419;Mitt;B1;Ja;419;69+ 776;69+ 787;2013-04-25
434;SRV;Spårväxel - EV-UIC60-760-1:15;u;1;Mitt;B4;Ja;136;10+ 931;10+ 956;2014-03-10
324;LA;Spårväxel - EV-SJ50-11-1:9;;406-415;Mitt;B1;Ja;415;69+ 732;69+ 743;2013-04-25
324;LA;Spårväxel - EV-SJ50-11-1:9;;406-415;Mitt;B1;Ja;406;69+ 689;69+ 701;2013-04-25
216;RSÖ;Spårväxel - EV-UIC60-1200-1:18,5;n;1;Mitt;B4;Ja;6;427+ 917;427+ 950;2014-03-18
216;RSÖ;Spårväxel - EV-UIC60-300-1:9;e;2;Mitt;B4;Ja;5;427+ 858;427+ 875;2014-03-18
324;GÄG;Spårväxel - EV-SJ50-11-1:9;;1;Väst;B1;Ja;36b;61+ 210;61+ 221;2013-04-18
216;ÖBN;Spårväxel - EV-UIC60-760-1:15;e;2;Mitt;B4;Ja;21;421+ 597;421+ 622;2014-03-18
216;ÖBN;Spårväxel - EV-UIC60-760-1:15;e;2;Mitt;B4;Ja;22;420+ 483;420+ 508;2014-03-18
324;RMH;Spårväxel - EV-SJ43-5,9-1:9;;3;Väst;B1;Ja;36;51+ 737;51+ 749;2013-04-25
324;RMH;Spårväxel - EV-SJ50-11-1:9;;2;Väst;B1;Ja;35;51+ 681;51+ 693;2013-04-18
216;HNB;Spårväxel - EV-SJ50-300-1:9;e;3;Mitt;B4;Ja;1;415+  91;415+ 108;2014-03-18
216;HNB;Spårväxel - EV-UIC60-760-1:14;e;3;Mitt;B4;Ja;2;414+ 853;414+ 880;2014-03-18
216;HNB;Spårväxel - EV-UIC60-300-1:9;e;3;Mitt;B4;Ja;5;414+ 135;414+ 151;2014-03-18
216;HNB;Spårväxel - EV-UIC60-300-1:9;e;3;Mitt;B4;Ja;6;414+  58;414+  75;2014-03-18
217;BN;Spårväxel - EV-UIC60-760-1:15;e;2;Mitt;B4;Ja;1a;318+  67;318+  92;2014-03-18
217;BN;Spårväxel - EV-SJ50-12-1:15;u;3;Mitt;B3;Ja;1b;317+ 978;317+ 996;2013-03-15
217;BN;Spårväxel - EV-SJ50-11-1:9;u;3;Mitt;B3;Ja;3a;317+ 934;317+ 952;2013-03-15
325;GG;Spårväxel - EV-SJ50-11-1:9;;bv-stick;Mitt;B1;Ja;32;85+ 221;85+ 232;2011-06-22
217;BN;Spårväxel - EV-SJ50-11-1:9;n;2;Mitt;B3;Ja;6;317+ 653;317+ 664;2013-03-15
217;BN;Spårväxel - EV-SJ50-11-1:9;n;2;Mitt;B3;Ja;9;317+ 125;317+ 136;2013-03-14
217;BN;Spårväxel - EV-UIC60-300-1:9;u;3;Mitt;B3;Ja;10b;317+ 116;317+ 132;2013-03-14
217;BN;Spårväxel - EV-SJ50-12-1:12;;4;Mitt;B3;Ja;12b;317+  68;317+  90;2013-03-14
325;GG;Spårväxel - EV-SJ50-11-1:9;e1;2;Mitt;B2;Ja;24;480+  69;480+  81;2014-05-14
325;GG;Spårväxel - EV-SJ50-12-1:15;e1;2;Mitt;B2;Ja;25;480+  51;480+  69;2014-05-14
325;STL;Spårväxel - EV-SJ50-11-1:9;e;1;Mitt;B2;Ja;31;463+ 258;463+ 269;2014-05-14
325;STL;Spårväxel - EV-BV50-300-1:9;e;1;Mitt;B2;Ja;28;463+ 186;463+ 203;2014-05-14
217;BN;Spårväxel - EV-SJ50-12-1:15;n;2;Mitt;B3;Ja;18a;316+ 944;316+ 962;2013-03-14
217;BN;Spårväxel - EV-SJ50-12-1:15;;18b-18a;Mitt;B3;Ja;18b;316+ 876;316+ 902;2013-03-14
217;BN;Spårväxel - EV-SJ50-12-1:13;;20b-20a;Mitt;B3;Ja;20a;316+ 793;316+ 816;2013-03-14
217;BN;Spårväxel - EV-SJ50-12-1:13;n;2;Mitt;B3;Ja;20b;316+ 734;316+ 756;2013-03-14
217;BN;Spårväxel - EV-SJ50-11-1:12;e;22;Mitt;B3;Ja;22;0+ 488;0+ 510;2013-03-14
218;OB;Spårväxel - EV-SJ50-12-1:15;e1;1;Mitt;B3;Ja;2b;38+ 491;38+ 510;2013-03-14
218;OB;Spårväxel - EV-SJ50-12-1:15;e1;1;Mitt;B3;Ja;12;37+ 697;37+ 723;2013-03-12
218;OB;Spårväxel - EV-SJ50-12-1:15;;2;Mitt;B3;Ja;2a;257+ 146;257+ 165;2013-03-14
218;OB;Spårväxel - EV-SJ50-11-1:9 kryss;;2;Mitt;B3;Ja;10a;256+ 365;256+ 377;2013-03-14
218;OB;Spårväxel - SPK-SJ50-1:4,44;;10b-10a;Mitt;B3;Ja;sk 1;256+ 342;256+ 342;2013-03-14
326;DGÖ;Spårväxel - EV-BV50-225/190-1:9;;4;Väst;B2;Ja;36b;184+ 712;184+ 729;
218;OB;Spårväxel - EV-SJ50-11-1:9;;2;Mitt;B3;Ja;9b;256+ 311;256+ 323;2013-03-14
